title	author	DOI_link	DOI	vol	JOURNAL	profile_c
A Pinocamphone Poor Oil of Hyssopus officinalis L. var. decumbens from France (Banon)	"G. Salvatore, A. D' Andrea, M Nicoletti"	https://doi.org/10.1080/10412905.1998.9700972	10.1080/10412905.1998.9700972	"VOL. 10, 563-567 (Sep/Oct 1998)"	Journal of Essential Oil Research	JEHoffr1998Flo
A Piperitenone Oxide Chemotype of Mentha longifolia (L.) Huds. Growing Wild in Jordan	"Ibrahim M. Abu-Al-Futuh, Osama H. Abdelmageed, Raya M. Jamil, Pinarosa Avato"	https://doi.org/10.1080/10412905.2000.9712151	10.1080/10412905.2000.9712151	"VOL. 12, 530-532 (Sep/Oct 2000)"	Journal of Essential Oil Research	JEMloit2000Aer
A Preliminary Examination of the Leaf Oils of the Genus Xanthostemon (Myrtaceae) in Australia	"Joseph J. Brophy , Robert J. Goldsack & Paul I. Forster"	https://doi.org/10.1080/10412905.2006.9699071	10.1080/10412905.2006.9699071	"VOL. 18, 222-230 (Mar/Apr 2006)"	Journal of Essential Oil Research	JEXopau2006Lea#JEXpaau2006Lea#JEXspau2006Lea#JEXarau2006Lea#JEXumau2006Lea#JEXeuau2006Lea#JEXyoau2006Lea#JEXchau2006Lea#JEXwhau2006Lea#JEXfoau2006Lea#JEXveau2006Lea#JEXcrau2006Lea#JEXpsau2006Lea
A Study of Moroccan Rosemary Oils	"Abdelaziz Elamrani, Saadia Zrira, Bachir Benjilali & Mohamed Berrada"	https://doi.org/10.1080/10412905.2000.9699572	10.1080/10412905.2000.9699572	"VOL. 12, 487-495 (July/Aug 2000)"	Journal of Essential Oil Research	JERermo2000Lea
A Study of Moroccan Rosemary Oils	"Abdelaziz Elamrani, Saadia Zrira, Bachir Benjilani, Mohamed Berrada"	https://doi.org/10.1080/10412905.2000.9699572	10.1080/10412905.2000.9699572	"VOL. 12, 487-495 (July/Aug 2000)"	Journal of Essential Oil Research	JERofmo2000Lea
A Study of the Mediterranean Oregano Populations.Chemical Composition of Essential Oils of Origanum ehrenbergii Boiss. from Two Populations in Lebanon	"Gilles Figueredo, Jean-Claude Chalchat, B.Pasquier"	https://doi.org/10.1080/10412905.2005.9699006	10.1080/10412905.2005.9699006	"VOL. 17, 593-596 (Nov/Dec 2005)"	Journal of Essential Oil Research	JEOehle2005Who
A Study of the Mediterranean Oregano Populations: Chemical Composition of Essential Oils ofOriganum cordifolium Monbret et Aucher from Two Populations in Cyprus	"Gilles Figueredo, Jean-Claude Chalchat, Bernard Pasquier"	https://doi.org/10.1080/10412905.2005.9699020	10.1080/10412905.2005.9699020	"VOL. 17, 638-641 (Nov/Dec 2005)"	Journal of Essential Oil Research	JEOcocy2005Who
A Study on Anti-Inflammatory and Peripheral Analgesic Action of Salvia sclerea Oil and Its Main Components	"M. D. H. Moretti, A.T. Peana, M.Satta"	https://doi.org/10.1080/10412905.1997.9699459	10.1080/10412905.1997.9699459	"VOL. 9, 199-204 (Mar/Apr 1997)"	Journal of Essential Oil Research	JESscsa1997Lea
"Acacia nuperrima ssp. Cassitera, A New Source of Kessane."	Ian A. Southwell.	https://doi.org/10.1080/10412905.2000.9712160	10.1080/10412905.2000.9712160	"VOL. 12, 566-568 (Sep/Oct 2000)"	Journal of Essential Oil Research	JEAnudiquin2000LeaLa#JEAnudiquin2000LeaDi
Acidic Components in Scotch Spearmint Oil (Mentha gracilis Sole)	"Tomoyuki Tsuneya,' Masakazu Ishihara and Hiroaki Takatori, Fumio Yoshida, Keiichi Yamagishi and Takaki Ikenishi"	https://doi.org/10.1080/10412905.1998.9700957	10.1080/10412905.1998.9700957	"VOL. 10, 507-516 (Sep/Oct 1998)"	Journal of Essential Oil Research	JEMgrus1998Who
Activity against Streptococcus pneumoniae of the Essential Oil and d-Cadinene Isolated from Schinus molle Fruit 	"Alejandro PeÌÅrez-LoÌÅpez, Anabel Torres Cirio, VeroÌÅnica M. Rivas-Galindo, Ricardo Salazar Aranda and NoemiÌÅ Waksman de Torres "	https://doi.org/10.1080/10412905.2011.9700477	10.1080/10412905.2011.9700477	"VOL. 23, 25-28 (Sept/Oct 2011)"	Journal of Essential Oil Research	JESmome2011fru
