	key	species	location	year	biblio	title	authors	jrnl	family	plantweed
	JEPleprofjasp2000Gal	Pistacia lentiscua	Province of Jacn,Spain	1996	VOL. 12,19-23 (Jan/Feb 2000)	Composition of the Essential Oils from Galls and Aerial Parts of Pistacia lentiscus L.	Ana Fernandez,Ana Camacho,Carlos Fernandez,Joaquin Alterjoa,Pilar Perez.	Journal of Essential Oil Research	Anacardiaceae	Plant
	JELtetucoar2002Fru	Lithraea ternifolia	Tulumba,Cordoba (Argentina)	NA	VOL. 14,257-258 (July/Aug 2002)	Volatile Constituents of Lithraea ternifolia (Gillies) Barkley Fruit.	D.M. Maestri,D. O. Labuckas,J. A. Zygadlo.	Journal of Essential Oil Research	Anacardiaceae	Plant
	JEPatnoaf2005fru	Pistacia atlantica	north Africa	NA	VOL. 17,52-54 (Jan/Feb 2005)	Chemical Composition of the Essential Oils of Pistacia atlantica Desf.	A.F. Barrero,M.M. Herrador & J.F. Arteaga	Journal of Essential Oil Research	Anacardiaceae	Plant
	JEPatnoaf2005lea	Pistacia atlantica	north Africa	NA	VOL. 17,52-54 (Jan/Feb 2005)	Chemical Composition of the Essential Oils of Pistacia atlantica Desf.	A.F. Barrero,M.M. Herrador & J.F. Arteaga	Journal of Essential Oil Research	Anacardiaceae	Plant
	JEPatnoaf2005Res	Pistacia atlantica	north Africa	NA	VOL. 17,52-54 (Jan/Feb 2005)	Chemical Composition of the Essential Oils of Pistacia atlantica Desf.	A.F. Barrero,M.M. Herrador & J.F. Arteaga	Journal of Essential Oil Research	Anacardiaceae	Plant
	JEPatso2008Fru	Pistacia atlantica	South-Algeria	NA	VOL. 20,215-219 (May/June 2008)	Composition of Leaf,Fruit and Gall Essential Oils of Algerian Pistacia atlantica Desf.	Samira Mecherara-Idjeri,Aicha Hassani,Vincent Castola & Joseph Casanova	Journal of Essential Oil Research	Anacardiaceae	Plant
	JEPatso2008Gal	Pistacia atlantica	South-Algeria	NA	VOL. 20,215-219 (May/June 2008)	Composition of Leaf,Fruit and Gall Essential Oils of Algerian Pistacia atlantica Desf.	Samira Mecherara-Idjeri,Aicha Hassani,Vincent Castola & Joseph Casanova	Journal of Essential Oil Research	Anacardiaceae	Plant
	JEPatso2008Lea	Pistacia atlantica	South-Algeria	NA	VOL. 20,215-219 (May/June 2008)	Composition of Leaf,Fruit and Gall Essential Oils of Algerian Pistacia atlantica Desf.	Samira Mecherara-Idjeri,Aicha Hassani,Vincent Castola & Joseph Casanova	Journal of Essential Oil Research	Anacardiaceae	Plant
	JEAhubr2010Lea	Anacardium humile	Brazil	NA	VOL. 22,11-12 (Jan/Feb 2010)	Identification of the Volatile Compounds of Leaf Oil of Anacardium humile (Anacardiaceae)	Cristiane Regina Winck,Claudia A.L. Cardoso,Alex Haroldo Jeller,Nilva Re-Poppi,Rosemary Matias Coelho,Eloty Justina Dias Schelder.	Journal of Essential Oil Research	Anacardiaceae	Plant
	JESmome2011fru	Schinus molle 	Mexico	November,2008	VOL. 23,25-28 (Sept/Oct 2011)	Activity against Streptococcus pneumoniae of the Essential Oil and d-Cadinene Isolated from Schinus molle Fruit 	Alejandro Pérez-López,Anabel Torres Cirio,Verónica M. Rivas-Galindo,Ricardo Salazar Aranda and Noemí Waksman de Torres 	Journal of Essential Oil Research	Anacardiaceae 	Plant
	JEAtobr2013lea	Anemia tomentosa var. anthriscifolia 	Brazil	NA	VOL. 25,198-202 (May/June 2013)	Chemical composition of the volatile fractions from wild and in vitro plants of Anemia tomentosa var. anthriscifolia (Pteridophyta)	Shaft C. Pinto,Gilda G. Leitão,Aline Castellar,Diego S. D’Elia,Celso L.S. Lage,Anaíze B. Henriques,Janaina Fernandes,Gláucia S. Motta,Humberto R. Bizzo and Suzana G. Leitão	Journal of Essential Oil Research	Anemiaceae 	Plant
	JERmugudemeha2000Fru	Rollinia mucosa	Guira de Melena,Havana	NA	VOL. 12,97-98 (Jan/Feb 2000)	Volatile Components of Rollinia mucosa (Jacq.) Baill.	Jorge A. Pino	Journal of Essential Oil Research	Annonaceae	Plant
	JEDtrewfokebe2000Lea	Dennettia tripetala	Ewe Forest (Ketore),Benin	1997	VOL. 12,412-414 (July/Aug 2000)	Essential Oil of Dennettia tripetala Leaves from Benin.	Salami Bouraima Adeoti,Mare Abel Ayedoun,Piet A. Leclercq.	Journal of Essential Oil Research	Annonaceae	Plant
	JEAchcu2000Fru	Annona cherimolia	Cuba	NA	VOL. 12,613-615 (Sep/Oct 2000)	Volatile Components of Cuban Annona Fruits.	Jorge A. Pino.	Journal of Essential Oil Research	Annonaceae	Plant
	JEArecu2000Fru	Annona reticulata L.	Cuba	NA	VOL. 12,613-615 (Sep/Oct 2000)	Volatile Components of Cuban Annona Fruits.	Jorge A. Pino.	Journal of Essential Oil Research	Annonaceae	Plant
	JEXarpidericu2000Lea	Xylopia aromatica	Pinar del Rio,Cuba	NA	VOL. 12,751-752 (Nov/Dec 2000)	Leaf Oil of Xylopia aromatica (Lam.) Mart. From Cuba.	Jorge A. Pino,Avilio Bello,Aromando Urquiola,Sergio Garcia,Aristides Rosado.	Journal of Essential Oil Research	Annonaceae	Plant
	JEAmoviofhacu2002Fru	Annona montana	Vicinity of Havana,Cuba	NA	VOL. 14,257-258 (July/Aug 2002)	Volatile Components of Wild Soursop (Annona montana Macf.) Fruit.	Jorge A. Pino,Rolando Marbot,Juan Aguero.	Journal of Essential Oil Research	Annonaceae	Plant
	JEAglcu2002Fru	Annona glabra	Cuba	NA	VOL. 14,257-258 (July/Aug 2002)	Volatile Compounds of Baga (Annona glabra L.) Fruits.	Jorge A. Pino,Rolando Marbot,Juan Aguero.	Journal of Essential Oil Research	Annonaceae	Plant
	JEDgoau2002Lea	Desmos goezeanus	Australia	NA	VOL. 14,298-301 (July/Aug 2002)	The Leaf Eseential Oils of the Australian Species of Desmos (Annonaceae)	Joseph J. Brophy,Robert J. Goldsack,Paul I. Forster.	Journal of Essential Oil Research	Annonaceae	Plant
	JEDwaau2002Lea	Desmos wardianus	Australia	NA	VOL. 14,298-301 (July/Aug 2002)	The Leaf Eseential Oils of the Australian Species of Desmos (Annonaceae)	Joseph J. Brophy,Robert J. Goldsack,Paul I. Forster.	Journal of Essential Oil Research	Annonaceae	Plant
	JEXaeaf2003Fru	Xylopia aethiopica	Africa	NA	VOL. 15,267-269 (July/Aug 2003)	Chemical Composition of the Essential Oil of Xylopia aethiopica (Dunal) A.ch. from Mali	B.Keita,L.Sidibe,G.Figueredo,J.-C.Chalchat	Journal of Essential Oil Research	Annonaceae	Plant
	JEXbrsapacisapastbr2003Lea	Xylopia brasiliensis	Sao Paulo city,Sau Paulo State (Brazil)	2001	VOL. 15,406-407 (Nov/Dec 2003)	Mono and Sesquiterpenes from the Leaf Essential Oil of Xylopia brasiliensis Spreng. (Annonaceae)	J.H.G.Lago,I.C.Moreira,T.M.Tanizaki,P.R.H.Moreno,N.F.Roque,R.P.Limberger,M.A.Apel,A.T.Henriques	Journal of Essential Oil Research	Annonaceae	Plant
