country,count
Brazil,7
Burkina Faso,4
France,4
Burkina Faso.,3
China,3
Madagascar,2
Croatia,2
Cameroon,1
Sri Lanka,1
Bosnia and Herzegovina,,1
Congo,1
India,1
Burkina Faso,,1
Turkey,1
Mozambique,1
Italy,1
Mexico,1
