monoterpene,count
Limonene,6
Sabinene,5
Borneol,4
Carvacrol,4
Camphene,4
Myrcene,3
Eucalyptol,3
Linalool,3
Camphor,3
Thymol,2
Piperitone,2
Geraniol,2
Nerol,1
Terpinene,1
Menthone,1
Linalyl acetate,1
Terpinen-4-ol,1
