pid	synonyms
42	Acinos hungaricus ozrensis
42	Acinos hungaricus rosiflorus
42	Acinos majoranifolius albiflora
42	Acinos majoranifolius kindigeri
42	Acinos majoranifolius ozrensis
42	Acinos majoranifolius rosiflorus
42	Calamintha alpina albiflora
42	Calamintha alpina baumgartenii
42	Calamintha alpina cuneata
42	Calamintha alpina cuneata
42	Calamintha alpina hungarica
42	Calamintha alpina marginata
42	Calamintha alpina nomismophylla
42	Calamintha alpina villicaulis
42	Calamintha hungarica
42	Calamintha hungarica cuneata
42	Calamintha hungarica villicaulis
42	Calamintha patavina colorata
42	Calamintha patavina doiranensis
42	Calamintha patavina kindigeri
42	Calamintha patavina rotundifolia
42	Calamintha rotundifolia brevipetala
42	Calamintha rotundifolia villosa
42	Melissa baumgartenii
42	Melissa hungarica
42	Satureja alpina baumgartenii
42	Satureja alpina marginata
42	Satureja hungarica
42	Satureja majoranifolia albiflora
42	Satureja majoranifolia cuneata
42	Satureja majoranifolia ozrensis
42	Satureja majoranifolia rosiflora
43	Acinos heterophyllus
43	Acinos suaveolens
43	Acinos suaveolens acuminatus
43	Acinos suaveolens bulgaricus
43	Acinos suaveolens kalampacanus
43	Acinos suaveolens thessalicus
43	Acinos suaveolens tinctus
43	Acinos suaveolens viridis
43	Calamintha acinoides
43	Calamintha acuminata
43	Calamintha langei
43	Calamintha patavina
43	Calamintha patavina acuminata
43	Calamintha rotundifolia
43	Calamintha suaveolens
43	Calamintha suaveolens acinoides
43	Calamintha suaveolens acuminata
43	Calamintha suaveolens tincta
43	Calamintha suaveolens viridis
43	Melissa acinoides
43	Melissa suaveolens
43	Satureja alpina suaveolens
43	Satureja alpina suaveolens
43	Satureja alpina viridis
43	Satureja suaveolens
43	Thymus acinoides
43	Thymus melissoides
43	Thymus melissoides
43	Thymus suaveolens
45	Calamus aromaticus
49	Aeollanthus buettneri
49	Aeollanthus calvus
49	Aeollanthus chevalieri
49	Aeollanthus elongatus
49	Aeollanthus lujae
49	Aeollanthus petasatus
49	Aeollanthus pubescens nudus
49	Aeollanthus purpureopilosus
49	Aeollanthus robynsii
49	Aeollanthus stormsii
49	Aeollanthus stormsioides
50	Aeollanthus affinis
50	Aeollanthus cassawa
50	Aeollanthus claessensii
50	Aeollanthus edlingeri
50	Aeollanthus glabrifolius
50	Aeollanthus heliotropioides
50	Aeollanthus lamborayi
50	Aeollanthus schliebenii
50	Aeollanthus suaveolens
50	Aeollanthus suavis
51	Amomum citratum
51	Amomum macrolepis
51	Cardamomum citratum
52	Aframomum korarima
52	Aframomum usambarense
52	Amomum corrorima
52	Amomum korarima
53	Aframomum cuspidatum
53	Aframomum leonense
53	Aframomum oleraceum
53	Alexis bifurca
53	Amomum cuspidatum
53	Amomum exscapum
56	Aframomum grana-paradisi
56	Aframomum meleguetella
56	Alexis grandiflora
56	Alpinia grana-paradisi
56	Amomum elatum
56	Amomum grana-paradisi
56	Amomum grandiflorum
56	Amomum melegueta
56	Amomum melegueta violacea
56	Cardamomum grana-paradisi
56	Cardamomum grandiflorum
56	Torymenes officinalis
58	Aframomum biauriculatum
58	Aframomum candidum
58	Aframomum latifolium
58	Aframomum macrospermum
