pid	pname	scientificName (gbif)	Normalized name	Details	pfid	phid	Error	kingdom	phylum	class	order	family	genus	species		Synonym 
281	Callistemon linearifolius	Callistemon linearifolius DC.	Callistemon linearifolius	DC.	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Callistemon	Callistemon linearifolius		#N/A
282	Callistemon linearis	Callistemon linearis Sweet	Callistemon linearis	Sweet	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Callistemon	Callistemon linearis		#N/A
283	Callistemon montanus	Callistemon montanus C.T.White ex S.T.Blake	Callistemon montanus	C.T.White ex S.T.Blake	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Callistemon	Callistemon montanus		#N/A
284	Callistemon pachyphyllus	Callistemon pachyphyllus Cheel	Callistemon pachyphyllus	Cheel	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Callistemon	Callistemon pachyphyllus		#N/A
285	Callistemon pallidus	Callistemon pallidus (Bonpl.) DC.	Callistemon pallidus	(Bonpl.) DC.	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca pallida		Melaleuca pallida GBIF 2685484
286	Callistemon pauciflorus	Callistemon pauciflorus R.D.Spencer & P.F.Lumley	Callistemon pauciflorus	R.D.Spencer & P.F.Lumley	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca faucicola		Melaleuca faucicola GBIF 2685484
287	Callistemon pearsonii	Callistemon pearsonii R.D.Spencer & Lumley	Callistemon pearsonii	R.D.Spencer & Lumley	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Callistemon	Callistemon pearsonii		#N/A
288	Callistemon phoeniceus	Callistemon phoeniceus Lindl.	Callistemon phoeniceus	Lindl.	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Callistemon	Callistemon phoeniceus		#N/A
289	Callistemon pinifolius	Callistemon pinifolius (Wendl.) Sweet	Callistemon pinifolius	(Wendl.) Sweet	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Callistemon	Callistemon pinifolius		#N/A
290	Callistemon pityoides	Callistemon pityoides Miq.	Callistemon pityoides	Miq.	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Callistemon	Callistemon pityoides		#N/A
291	Callistemon polandii	Callistemon polandii F.M.Bailey	Callistemon polandii	F.M.Bailey	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Callistemon	Callistemon polandii		#N/A
292	Callistemon pungens	Callistemon pungens Lumley & R.D.Spencer	Callistemon pungens	Lumley & R.D.Spencer	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Callistemon	Callistemon pungens		#N/A
293	Callistemon recurvus	Callistemon recurvus R.D.Spencer & Lumley	Callistemon recurvus	R.D.Spencer & Lumley	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Callistemon	Callistemon recurvus		#N/A
294	Callistemon rigidus	Callistemon rigidus R.Br.	Callistemon rigidus	R.Br.	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Callistemon	Callistemon linearis		Callistemon linearis GBIF 2685484
295	Callistemon rugulosus	Callistemon rugulosus (Link) DC.	Callistemon rugulosus	(Link) DC.	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Callistemon	Callistemon rugulosus		#N/A
296	Callistemon salignus	Callistemon salignus (Sm.) Sweet	Callistemon salignus	(Sm.) Sweet	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Callistemon	Callistemon salignus		#N/A
297	Callistemon shiressii	Callistemon shiressii Blakely	Callistemon shiressii	Blakely	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca shiressii		Melaleuca shiressii GBIF 2685484
298	Callistemon sieberi	Callistemon sieberi DC.	Callistemon sieberi	DC.	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Callistemon	Callistemon paludosus		Callistemon paludosus GBIF 2685484
299	Callistemon sp.	Callistemon R.Br.	Callistemon sp.	(Blackdown Tableland S.G. Pearson 287)	62	1	The variations are added from the paper.	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Callistemon			#N/A
300	Callistemon subulatus	Callistemon subulatus Cheel	Callistemon subulatus	Cheel	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Callistemon	Callistemon subulatus		#N/A
301	Callistemon teretifolius	Callistemon teretifolius F.Muell.	Callistemon teretifolius	F.Muell.	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Callistemon	Callistemon teretifolius		#N/A
302	Callistemon viminalis	Callistemon viminalis G.Don	Callistemon viminalis	G.Don	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Callistemon	Callistemon viminalis		#N/A
303	Calycolpus australis	Calycolpus australis Landrum	Calycolpus australis	Landrum	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Calycolpus	Calycolpus australis		#N/A
304	Calyptranthes microphylla	Calyptranthes microphylla B.Holst & M.L.Kawas.	Calyptranthes microphylla	B.Holst & M.L.Kawas.	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Calyptranthes	Calyptranthes microphylla		#N/A
305	Calyptranthes sintenisii	Calyptranthes sintenisii Kiaersk.	Calyptranthes sintenisii	Kiaersk.	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Calyptranthes	Calyptranthes sintenisii		#N/A
306	Campomanesia adamantium	Campomanesia adamantium (Cambessèdes) Berg	Campomanesia adamantium	(Cambessèdes) Berg	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Campomanesia	Campomanesia adamantium		#N/A
307	Campomanesia guaviroba	Campomanesia guaviroba (DC.) Bertoni	Campomanesia guaviroba	(DC.) Bertoni	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Campomanesia	Campomanesia guaviroba		#N/A
308	Campomanesia phaea	Campomanesia phaea (O.Berg) Mattos	Campomanesia phaea	(O.Berg) Mattos	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Campomanesia	Campomanesia phaea		#N/A
309	Campomanesia pubescens	Campomanesia pubescens O.Berg	Campomanesia pubescens	O.Berg	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Campomanesia	Campomanesia pubescens		#N/A
310	Campomanesia sessiliflora	Campomanesia sessiliflora (O.Berg) Mattos	Campomanesia sessiliflora	(O.Berg) Mattos	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Campomanesia	Campomanesia sessiliflora		#N/A
311	Campomanesia xanthocarpa	Campomanesia xanthocarpa O.Berg	Campomanesia xanthocarpa	O.Berg	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Campomanesia	Campomanesia xanthocarpa		#N/A
312	Cannabis sativa ssp. Spontanea	Cannabis sativa L.	Cannabis sativa 	subsp. Spontanea	23	1		Plantae	Tracheophyta	Magnoliopsida	Rosales	Cannabaceae	Cannabis	Cannabis sativa		#N/A
313	Carduus pycnocephalus	Carduus pycnocephalus L.	Carduus pycnocephalus	L.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Carduus	Carduus pycnocephalus		#N/A
314	Carica papaya	Carica papaya L.	Carica papaya	L.	24	1		Plantae	Tracheophyta	Magnoliopsida	Brassicales	Caricaceae	Carica	Carica papaya		#N/A
315	Carum carvi	Carum carvi L.	Carum carvi	L.	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Carum	Carum carvi		#N/A
316	Carum copticum	Carum copticum (L.) Benth. & Hook.f.	Carum copticum	(L.) Benth. & Hook.f.	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Trachyspermum	Trachyspermum ammi		Trachyspermum ammi GBIF 2685484
317	Carum graecum	Carum graecum Boiss. & Heldr.	Carum graecum	Boiss. & Heldr.	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Carum	Carum graecum		#N/A
318	Caryopteris odorata (D. Don)	Caryopteris odorata (D.Don) B.L.Rob.	Caryopteris odorata	(D.Don) B.L.Rob.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Pseudocaryopteris	Pseudocaryopteris bicolor		Pseudocaryopteris bicolor GBIF 2685484
319	Cassinia laevis	Cassinia laevis R.Br.	Cassinia laevis	R.Br.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Cassinia	Cassinia laevis		#N/A
320	Cassinia quinquefaria	Cassinia quinquefaria R.Br.	Cassinia quinquefaria	R.Br.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Cassinia	Cassinia quinquefaria		#N/A
321	Cassytha filiformis	Cassytha filiformis L.	Cassytha filiformis	L.	48	1		Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Cassytha	Cassytha filiformis		#N/A
322	Cassytha pubescens	Cassytha pubescens R.Br.	Cassytha pubescens	R.Br.	48	1		Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Cassytha	Cassytha pubescens		#N/A
323	Cayratia japonica	Cayratia japonica Gagnepain	Cayratia japonica	Gagnepain	98	1		Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Cayratia	Cayratia japonica		#N/A
324	Cedrela odorata	Cedrela odorata L.	Cedrela odorata	L.	55	2		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Meliaceae	Cedrela	Cedrela odorata		#N/A
325	Cedrus libani	Cedrus libani A.Rich.	Cedrus libani	A.Rich.	71	1		Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Cedrus	Cedrus libani		#N/A
326	Cedrus liobani	Cedrus libani A.Rich.	Cedrus libani	A.Rich.	71	1	Typographical Error and the right spelling already exists	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Cedrus	Cedrus libani		#N/A
327	Centaurea aphrodisea	Centaurea aphrodisea Boiss.	Centaurea aphrodisea	Boiss.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Centaurea	Centaurea aphrodisea		#N/A
328	Centaurea athoa	Centaurea athoa DC.	Centaurea athoa	DC.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Centaurea	Centaurea athoa		#N/A
329	Centaurea calcitrapa	Centaurea calcitrapa L.	Centaurea calcitrapa	L.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Centaurea	Centaurea calcitrapa		#N/A
330	Centaurea depressa	Centaurea depressa M.Bieb.	Centaurea depressa	M.Bieb.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Centaurea	Centaurea depressa		#N/A
331	Centaurea hyalolepis	Centaurea hyalolepis Boiss.	Centaurea hyalolepis	Boiss.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Centaurea	Centaurea hyalolepis		#N/A
332	Centaurea iberica	Centaurea iberica Trevir. ex Spreng.	Centaurea iberica	Trevir. ex Spreng.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Centaurea	Centaurea iberica		#N/A
333	Centaurea luschaniana	Centaurea luschaniana Heimerl	Centaurea luschaniana	Heimerl	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Centaurea	Centaurea luschaniana		#N/A
334	Centaurea paniculata	Centaurea paniculata L.	Centaurea paniculata	L.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Centaurea	Centaurea paniculata		#N/A
335	Centaurea polyclada	Centaurea polyclada DC.	Centaurea polyclada	DC.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Centaurea	Centaurea polyclada		#N/A
336	Centaurea solstitialis	Centaurea solstitialis L.	Centaurea solstitialis	L.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Centaurea	Centaurea solstitialis		#N/A
337	Centaurea tossiensis	Centaurea tossiensis Freyn & Sint. ex Freyn	Centaurea tossiensis	Freyn & Sint. ex Freyn	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Centaurea	Centaurea tossiensis		#N/A
338	Centaurea wagenitzii	Centaurea wagenitzii Hub.-Mor.	Centaurea wagenitzii	Hub.-Mor.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Centaurea	Centaurea wagenitzii		#N/A
339	Centaurea zuvandica	Centaurea zuvandica (Sosn.) Sosn.	Centaurea zuvandica	(Sosn.) Sosn.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Psephellus	Psephellus zuvandicus		Psephellus zuvandicus GBIF 2685484
340	Centaurium erythraea	Centaurium erythraea Rafn	Centaurium erythraea	Rafn	38	1		Plantae	Tracheophyta	Magnoliopsida	Gentianales	Gentianaceae	Centaurium	Centaurium erythraea		#N/A
341	Centratherum punctatum	Centratherum punctatum Cass.	Centratherum punctatum	Cass.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Centratherum	Centratherum punctatum		#N/A
342	Centurea rupestris	Centaurea rupestris L.	Centaurea rupestris	L.	15	1	Typographical Error	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Centaurea	Centaurea rupestris		#N/A
343	Cerastium candidissimum	Cerastium candidissimum Correns	Cerastium candidissimum	Correns	25	1		Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Cerastium	Cerastium candidissimum		#N/A
344	Chaerophyllum crinitum	Chaerophyllum crinitum Boiss.	Chaerophyllum crinitum	Boiss.	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Chaerophyllum	Chaerophyllum crinitum		#N/A
345	Chaerophyllum macropodum	Chaerophyllum macropodum Boiss.	Chaerophyllum macropodum	Boiss.	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Chaerophyllum	Chaerophyllum macropodum		#N/A
346	Chaerophyllum macrospermum	Chaerophyllum macrospermum (Willd. ex Spreng.) Fisch. & C.A.Mey.	Chaerophyllum macrospermum	(Willd. ex Spreng.) Fisch. & C.A.Mey.	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Chaerophyllum	Chaerophyllum macrospermum		#N/A
347	Chaerophyllum prescottii	Chaerophyllum prescottii DC.	Chaerophyllum prescottii	DC.	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Chaerophyllum	Chaerophyllum prescottii		#N/A
348	Chamaecyparis lawsoniana	Chamaecyparis lawsoniana Parl.	Chamaecyparis lawsoniana	Parl.	32	1		Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Chamaecyparis	Chamaecyparis lawsoniana		#N/A
349	Chamaemelum nobile	Chamaemelum nobile All.	Chamaemelum nobile	All.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Chamaemelum	Chamaemelum nobile		#N/A
350	Chamomilla recutita	Chamomilla recutita (L.) Rauschert	Chamomilla recutita	(L.) Rauschert	15	1	Duplicate entry	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Matricaria	Matricaria chamomilla		Matricaria chamomilla GBIF 2685484
351	Chamomilla recutita (L.)	Chamomilla recutita (L.) Rauschert	Chamomilla recutita	(L.) Rauschert	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Matricaria	Matricaria chamomilla		Matricaria chamomilla GBIF 2685484
352	Chenopodium ambrosioides	Chenopodium ambrosioides L.	Chenopodium ambrosioides	L.	4	1		Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Dysphania	Dysphania ambrosioides		#N/A
353	Chrysanthemum viscidehirtum	Chrysanthemum viscidehirtum (Schott) Thell.	Chrysanthemum viscidehirtum	(Schott) Thell.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Heteranthemis	Heteranthemis viscidehirta		Heteranthemis viscidehirta GBIF 2685484
354	Chrysopogon aucheri	Chrysopogon aucheri Stapf	Chrysopogon aucheri	Stapf	75	1		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Chrysopogon	Chrysopogon aucheri		#N/A
355	Chrysothamnus nauseousus var. glabratus	Chrysothamnus nauseosus var. glabratus (A.Gray) Cronquist	Chrysothamnus nauseosus 	var. glabratus (A.Gray) Cronquist	15	1	Typographical error in specific epithet	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ericameria	Ericameria nauseosa		Ericameria nauseosa GBIF 2685484
356	Chrysothamnus pulchellus	Chrysothamnus pulchellus (A.Gray) Greene	Chrysothamnus pulchellus	(A.Gray) Greene	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Lorandersonia	Lorandersonia pulchella		Lorandersonia pulchella GBIF 2685484
357	Chukrasia tabularis	Chukrasia tabularis A.Juss.	Chukrasia tabularis	A.Juss.	55	1		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Meliaceae	Chukrasia	Chukrasia tabularis		#N/A
358	Cicer arietinum	Cicer arietinum L.	Cicer arietinum	L.	37	1		Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Cicer	Cicer arietinum		#N/A
359	Cinammoum verum	Cinnamomum verum J.Presl	Cinnamomum verum	J.Presl	48	1	Typographical Error in genus	Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Cinnamomum	Cinnamomum verum		#N/A
360	Cinnamomum angustifolium	Cinnamomum angustifolium Lukman.	Cinnamomum angustifolium	Lukman.	48	1		Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Cinnamomum	Cinnamomum angustifolium		#N/A
361	Cinnamomum aureofulvum	Cinnamomum aureofulvum Gamble	Cinnamomum aureofulvum	Gamble	48	1		Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Cinnamomum	Cinnamomum aureofulvum		#N/A
362	Cinnamomum durifolium	Cinnamomum durifolium Kosterm.	Cinnamomum durifolium	Kosterm.	48	1		Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Cinnamomum	Cinnamomum durifolium		#N/A
363	Cinnamomum fragrans	Cinnamomum Schaeff.	Cinnamomum fragrans	unresolved	48	1	Entry not found in any database	Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Cinnamomum			#N/A
364	Cinnamomum iners	Cinnamomum iners Reinw. ex Blume	Cinnamomum iners	Reinw. ex Blume	48	1		Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Cinnamomum	Cinnamomum iners		#N/A
365	Cinnamomum magnifium	Cinnamomum magnificum Kosterm.	Cinnamomum magnificum	Kosterm.	48	1	Typographical Error	Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Cinnamomum	Cinnamomum magnificum		#N/A
366	Cinnamomum montanum	Cinnamomum montanum (Sw.) Bercht. & J.S.Presl	Cinnamomum montanum	(Sw.) Bercht. & J.S.Presl	62	1		Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Aiouea	Aiouea montana		Aiouea montana GBIF 2685484
367	Cinnamomum sericans	Cinnamomum sericans Hance	Cinnamomum sericans	Hance	48	1		Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Cinnamomum	Cinnamomum sericans		#N/A
368	Cinnamomum zeylanicum	Cinnamomum zeylanicum Blume	Cinnamomum zeylanicum	Blume	48	1		Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Cinnamomum	Cinnamomum verum		#N/A
369	Cinnamosma fragrans	Cinnamosma fragrans Baill.	Cinnamosma fragrans	Baill.	22	1		Plantae	Tracheophyta	Magnoliopsida	Canellales	Canellaceae	Cinnamosma	Cinnamosma fragrans		#N/A
370	Cirsium japonicum	Cirsium japonicum DC.	Cirsium japonicum	DC.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Cirsium	Cirsium japonicum		#N/A
371	Cistus ladanifer	Cistus ladanifer L.	Cistus ladanifer	L.	26	1		Plantae	Tracheophyta	Magnoliopsida	Malvales	Cistaceae	Cistus	Cistus ladanifer		#N/A
372	Cistus monspeliensis	Cistus monspeliensis L.	Cistus monspeliensis	L.	26	1		Plantae	Tracheophyta	Magnoliopsida	Malvales	Cistaceae	Cistus	Cistus monspeliensis		#N/A
373	Citrullus lanatus	Citrullus lanatus (Thunb.) Matsumura & Nakai	Citrullus lanatus	(Thunb.) Matsumura & Nakai	31	1		Plantae	Tracheophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Citrullus	Citrullus lanatus		#N/A
374	Citrus aurantifolia	Citrus aurantiifolia (Christm.) Swingle	Citrus aurantiifolia	(Christm.) Swingle	84	1		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus aurantiifolia		#N/A
375	Citrus aurantifolia Swingle (Kagzi lime)	Citrus aurantiifolia (Christm.) Swingle	Citrus aurantiifolia	(Kagzi lime) (Christm.) Swingle	84	1		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus aurantiifolia		#N/A
376	Citrus aurantium	Citrus aurantium L.	Citrus aurantium	L.	84	1	Duplicate entry	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus aurantium		#N/A
377	Citrus aurantiumÂ L.	Citrus aurantium L.	Citrus aurantium	L.	84	1		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus aurantium		#N/A
378	Citrus bergamia	Citrus bergamia Risso	Citrus bergamia	Risso	84	1		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus limon		Citrus limon GBIF 2685484
379	Citrus clementina	Citrus clementina hort. ex Tanaka	Citrus clementina	hort. Ex. Tanaka	84	1		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus clementina		#N/A
380	Citrus latifolia Tanaka (Seedless lime)	Citrus latifolia (Tanaka ex Yu.Tanaka) Tanaka	Citrus latifolia	(Tanaka ex Yu.Tanaka) Tanaka	84	1		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus latifolia		#N/A
381	Citrus latifolia Tanaka x Citrus aurantifolia Swingle (Hybrid)	Plantae	Citrus latifolia Tanaka x Citrus aurantifolia Swingle 	Hybrid 	84	1		Plantae								#N/A
382	Citrus limon	Citrus limon (L.) Burm.f.	Citrus limon	(L.) Burm.f.	84	1		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus limon		#N/A
383	Citrus limon L. Burm.	Citrus limon (L.) Burm.f.	Citrus limon	(L.) Burm.f.	84	1		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus limon		#N/A
384	Citrus limonÂ (L.) Burm.	Citrus limon (L.) Burm.f.	Citrus limon	(L.) Burm.f.	84	1	Duplicate entry	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus limon		#N/A
385	Citrus madurensis	Citrus madurensis Lour.	Citrus madurensis	Lour.	84	1		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus japonica		Citrus japonica GBIF 2685484
386	Citrus maxima	Citrus maxima (Burm.) Merr.	Citrus maxima	(Burm.) Merr.	84	1		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus grandis		Citrus grandis GBIF 2685484
387	Citrus paradisi	Citrus paradisii Macf.	Citrus paradisii	Macf.	84	1	Typographical error in specific epithet and duplicate entry	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus aurantium		Citrus aurantium GBIF 2685484
388	Citrus paradisi x C. reticulata	Plantae	Citrus paradisi x Citrus. reticulata	Hybrid 	84	1		Plantae								#N/A
389	Citrus paradisiÂ Macf.	Citrus paradisii Macf.	Citrus paradisii	Macf.	84	1	Typographical error in specific epithet	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus aurantium		Citrus aurantium GBIF 2685484
390	Citrus sinensis	"Citrus sinensis (Mill.) Pers., 1806"	Citrus sinensis	"(Mill.) Pers., 1806"	84	1		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus aurantium		Citrus aurantium GBIF 2685484
391	Citrus sinensis (Hongjiang)	"Citrus sinensis (Mill.) Pers., 1806"	Citrus sinensis	Unresolved subspecies	84	1	The specific subspecies was not found	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus aurantium		Citrus aurantium GBIF 2685484
392	Citrus sinensis (Sihui)	"Citrus sinensis (Mill.) Pers., 1806"	Citrus sinensis	Unresolved subspecies	84	1	The specific subspecies was not found	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus aurantium		Citrus aurantium GBIF 2685484
393	Citrus sinensis (Washington navel)	"Citrus sinensis (Mill.) Pers., 1806"	Citrus sinensis 	Unresolved subspecies	84	1	Duplicate entry	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus aurantium		Citrus aurantium GBIF 2685484
394	Citrus sinensis L Osbeck cv Doppio Sanguigno	Citrus sinensis (L.) Osbeck	Citrus sinensis	Unresolved subspecies	84	1	The specific subspecies was not found	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus aurantium		Citrus aurantium GBIF 2685484
395	Citrus sinensis L cv Washington navel	"Citrus sinensis (Mill.) Pers., 1806"	Citrus sinensis	Unresolved subspecies	84	1	The specific subspecies was not found	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus aurantium		Citrus aurantium GBIF 2685484
396	Citrus sinensis(Anliu)	"Citrus sinensis (Mill.) Pers., 1806"	Citrus sinensis	Unresolved subspecies	84	1	The specific subspecies was not found	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus aurantium		Citrus aurantium GBIF 2685484
397	Citrus tangerina	Citrus tangerina hort. ex Tanaka	Citrus tangerina	hort. ex Tanaka	84	1		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus reticulata		Citrus reticulata GBIF 2685484
398	Citrus unshiu	Citrus unshiu (Swingle) Marcov.	Citrus unshiu	(Swingle) Marcov.	84	1		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus reticulata		Citrus reticulata GBIF 2685484
399	Citrus unshiu x Citrus nobilis	Plantae	Citrus unshiu x Citrus nobilis	Hybrid 	84	1		Plantae								#N/A
400	Citruslimon	Citrus limon (L.) Burm.f.	Citrus limon	(L.) Burm.f.	84	1	Typographical Error	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus limon		Citrus limon GBIF 2685484
401	Citrussinensis L Osbeck cv Tarocco	Citrus sinensis (L.) Osbeck	Citrus sinensis 	cv Tarocco (L.) Osbeck	84	1		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus aurantium		Citrus aurantium GBIF 2685484
