pid	pname	scientificName (gbif)	Normalized name	Details	pfid	phid	Error	kingdom	phylum	class	order	family	genus	species		Synonym 
30	Achillea millefolium L	Achillea millefolium L.	Achillea millefolium	L.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea millefolium		#N/A
31	Achillea nobilis	Achillea nobilis L.	Achillea nobilis	L.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea nobilis		#N/A
32	Achillea oligocephala	Achillea oligocephala DC.	Achillea oligocephala	DC.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea oligocephala		#N/A
33	Achillea pseudoaleppica	Achillea pseudoaleppica Hausskn. ex Huber-Morath	Achillea pseudoaleppica	Hausskn. ex Huber-Morath	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea pseudoaleppica		#N/A
34	Achillea schischkinii	Achillea schischkinii D.Sosn.	Achillea schischkinii	D.Sosn.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea schischkinii		#N/A
35	Achillea serbica	Achillea serbica Nym.	Achillea serbica	Nym.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea ageratifolia		Achillea ageratifolia GBIF 2685484
36	Achillea sieheana	Achillea sieheana Stapf	Achillea sieheana	Stapf	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea sieheana		#N/A
37	Achillea stricta	Achillea stricta Schleich. ex Koch	Achillea stricta	Schleich. ex Koch	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea distans		#N/A
38	Achillea talagonica	Achillea talagonica Boiss.	Achillea talagonica	Boiss.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea talagonica		#N/A
39	Achillea tanacetifolia	Achillea tanacetifolia All.	Achillea tanacetifolia	All.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea distans		#N/A
