occurrenceId	verbatimScientificName	scientificName	key	matchType	confidence	status	rank	kingdom	phylum	class	order	family	genus	species
	Daucus carota	Daucus carota L.	3034742	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Daucus	Daucus carota
	Daucus carota	Daucus carota L.	3034742	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Daucus	Daucus carota
	Daucus carota	Daucus carota L.	3034742	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Daucus	Daucus carota
	Daucus carota	Daucus carota L.	3034742	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Daucus	Daucus carota
	Daucus littoralis	Daucus littoralis Sibth. & Sm.	7630168	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Daucus	Daucus littoralis
	Decaspermum humile	Decaspermum humile (G.Don) A.J.Scott	3180075	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Decaspermum	Decaspermum humile
	Decaspermum struckoilicum	Decaspermum struckoilicum N.Snow & Guymer	3180036	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Decaspermum	Decaspermum struckoilicum
	Dennettia tripetala	Dennettia tripetala Baker f.	3157443	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Uvariopsis	Uvariopsis tripetala
	Desmos goezeanus	Desmos goezeanus (F.Muell.) Jessup	3155121	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Desmos	Desmos goezeanus
	Desmos wardianus	Desmos wardianus (Bailey) Jessup	3155125	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Desmos	Desmos wardianus
	Dictamnus albus	Dictamnus albus L.	5421338	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Dictamnus	Dictamnus albus
	Dicyclophora persica	Dicyclophora persica Boiss.	3638902	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Dicyclophora	Dicyclophora persica
	Diospyros blancoi	Diospyros blancoi A.DC.	3032974	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ebenaceae	Diospyros	Diospyros discolor
	Diplotaenia cachrydifolia	Diplotaenia cachrydifolia Boiss.	3637256	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Diplotaenia	Diplotaenia cachrydifolia
	Dipteryx odorata	Dipteryx odorata Willd.	2947137	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Dipteryx	Dipteryx odorata
	Dittrichia graveolens	Dittrichia graveolens (L.) Greuter	3101193	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Dittrichia	Dittrichia graveolens
	Doronicum austriacum	Doronicum austriacum Jacq.	7389416	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Doronicum	Doronicum austriacum
	Dracocephalum aucheri	Dracocephalum aucheri Boiss.	3903279	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Dracocephalum	Dracocephalum aucheri
	Dracocephalum kotschyi	Dracocephalum kotschyi Boiss.	3902590	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Dracocephalum	Dracocephalum kotschyi
	Dracocephalum moldavica	Dracocephalum moldavica L.	2927222	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Dracocephalum	Dracocephalum moldavica
	Dracocephalum speciosum	Dracocephalum L.	2927219	HIGHERRANK	96	ACCEPTED	GENUS	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Dracocephalum	
	Drimys brasiliensis	Drimys brasiliensis Miers	7288410	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Canellales	Winteraceae	Drimys	Drimys brasiliensis
	Ducrosia anethifolia	Ducrosia anethifolia Boiss.	3635646	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Ducrosia	Ducrosia anethifolia
	Ducrosia assadii	Ducrosia assadii R.Alava	3635625	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Ducrosia	Ducrosia assadii
	Echinacea purpurea	Echinacea purpurea Moench	3150935	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Echinacea	Echinacea purpurea
	Echinophora carvifolia	Echinophora carvifolia Boiss. & Bal.	5538793	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Thecocarpus	Thecocarpus carvifolius
	Echinophora chysantha	Echinophora Tourn. ex L.	3232430	HIGHERRANK	96	ACCEPTED	GENUS	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Echinophora	
	Echinophora cinerea	Echinophora cinerea (Boiss.) Hedge & Lamond	5538775	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Echinophora	Echinophora cinerea
	Echinophora lamondiana	Echinophora lamondiana B.Yildiz & Z.Bahrecioglu	8324385	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Echinophora	Echinophora lamondiana
	Echinophora orientalis	Echinophora orientalis (DC.) Hedge & Lamond	5538735	EXACT	98	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Anisosciadium	Anisosciadium orientale
	Echinophora platyloba	Echinophora platyloba DC.	5538728	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Echinophora	Echinophora platyloba
	Echinophora tenuifolia	Echinophora tenuifolia L.	5538701	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Echinophora	Echinophora tenuifolia
	Echinophora tenuifolia	Echinophora tenuifolia L.	5538701	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Echinophora	Echinophora tenuifolia
	Echinophora tournefortii	Echinophora tournefortii Jaub. & Spach	5538695	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Echinophora	Echinophora tournefortii
	Echinophora trichophylla	Echinophora trichophylla Sm.	5538690	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Echinophora	Echinophora trichophylla
	Echinops graecus	Echinops graecus Mill.	5392944	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Echinops	Echinops graecus
	Echinops ritro	Echinops ritro (DC.) KoÅ_uharov	7427704	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Echinops	Echinops ritro
	Eclipta indica	Eclipta L.	3086569	HIGHERRANK	96	ACCEPTED	GENUS	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Eclipta	
	Elettariopsis elan	Elettariopsis elan C.K.Lim	2758419	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Elettariopsis	Elettariopsis elan
	Elsholtzia blanda	Elsholtzia blanda Benth.	8002762	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Elsholtzia	Elsholtzia blanda
	Elsholtzia ciliata	Elsholtzia ciliata (Thunb.) Hylander	2927075	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Elsholtzia	Elsholtzia ciliata
	Elsholtzia densa	Elsholtzia densa Benth.	7309000	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Elsholtzia	Elsholtzia densa
	Elsholtzia fruticosa	Elsholtzia fruticosa Rehder	7308971	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Elsholtzia	Elsholtzia fruticosa
	Elsholtzia incisa	Elsholtzia incisa (Benth.) Benth.	3900504	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Elsholtzia	Elsholtzia stachyodes
	Elyonurus muticus	Elyonurus muticus (Spreng.) Kuntze	4154870	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Elionurus	Elionurus muticus
	Eremostachys adenantha	Eremostachys adenantha Jaub. & Spach	3899147	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Phlomoides	Phlomoides adenantha
	Eremostachys macrophylla	Eremostachys macrophylla Montbret & Aucher ex Benth.	7506232	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Phlomoides	Phlomoides molucelloides
	Erica manipuliflora Salisb.	Erica manipuliflora Salisb.	7328591	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Erica	Erica manipuliflora
	Erechtites hieracifolia	Erechtites hieracifolia (L.) Raf.	7852981	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Erechtites	Erechtites hieracifolia
	Erigeron acris	Erigeron acris L.	3147080	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Erigeron	Erigeron acris
	Erigeron annuus	Erigeron annuus Pers.	3117449	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Erigeron	Erigeron annuus
	Erigeron floribundus	Erigeron floribundus Sch.Bip.	3147018	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Erigeron	Erigeron floribundus
	Eryngium billardieri	Eryngium billardieri Delar.	3633188	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Eryngium	Eryngium billardieri
	Eryngium bungei	Eryngium bungei Boiss.	3632926	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Eryngium	Eryngium bungei
	Eryngium caeruleum	Eryngium L.	3034387	HIGHERRANK	96	ACCEPTED	GENUS	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Eryngium	
	Eryngium expansum	Eryngium expansum F.Muell.	8269666	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Eryngium	Eryngium expansum
	Eryngium foetidum	Eryngium foetidum L.	3034425	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Eryngium	Eryngium foetidum
	Eryngium palmatum	Eryngium palmatum PanÄçiÄ‡ & Vis.	7677477	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Eryngium	Eryngium palmatum
	Eryngium paludosum	Eryngium paludosum (C.Moore & Betche) P.W.Michael	3628823	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Eryngium	Eryngium paludosum
	Eryngium pandanifolium	Eryngium pandanifolium Cham. & Schltdl.	6026300	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Eryngium	Eryngium pandanifolium
	Eryngium paniculatum	Eryngium paniculatum Cav. & Dombey ex Delar.	6026297	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Eryngium	Eryngium humboldtii
	Eryngium rostratum	Eryngium rostratum Cav.	6027363	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Eryngium	Eryngium rostratum
	Eryngium serbicum	Eryngium serbicum PanÄçiÄ‡	3641965	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Eryngium	Eryngium serbicum
	Eryngium sp nov.	Eryngium L.	3034387	EXACT	85	ACCEPTED	GENUS	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Eryngium	
	Eryngium spp.	Eryngium L.	3034387	EXACT	85	ACCEPTED	GENUS	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Eryngium	
	Eryngium vesiculosum	Eryngium vesiculosum Labill.	6027289	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Eryngium	Eryngium vesiculosum
	Eschweilera coriacea	Eschweilera coriacea (DC.) S.A.Mori	3083231	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Ericales	Lecythidaceae	Eschweilera	Eschweilera coriacea
	Espeletia batata	Espeletia batata Cuatrec.	3105111	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Espeletia	Espeletia batata
	Eucalyptus alba	Eucalyptus alba Reinw. ex Blume	3176384	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus alba
	Eucalyptus albens	Eucalyptus albens Miq.	7908015	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus albens
	Eucalyptus blakelyi	Eucalyptus blakelyi Maiden	3176932	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus blakelyi
	Eucalyptus brachyphylla	Eucalyptus brachyphylla C.A.Gardner	3717309	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus brachyphylla
	Eucalyptus camaldulensis	Eucalyptus camaldulensis Dehnh.	3176197	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus camaldulensis
	Eucalyptus camaldulensis	Eucalyptus camaldulensis Dehnh.	3176197	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus camaldulensis
	Eucalyptus camaldulensis	Eucalyptus camaldulensis Dehnh.	3176197	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus camaldulensis
	Eucalyptus citriodora	Eucalyptus citriodora Hook.	3180581	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Corymbia	Corymbia citriodora
	Eucalyptus citriodora x E.torelliana	Plantae	6	HIGHERRANK	99	ACCEPTED	KINGDOM	Plantae						
	Eucalyptus cladocalyx	Eucalyptus cladocalyx F.Muell.	3176313	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus cladocalyx
	Eucalyptus crucis	Eucalyptus crucis Maiden	3176805	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus crucis
	Eucalyptus dalrympleana	Eucalyptus dalrympleana Maiden	3177157	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus dalrympleana
	Eucalyptus dealbata	Eucalyptus dealbata Schauer	3176839	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus dealbata
	Eucalyptus deanei	Eucalyptus deanei Maiden	3176672	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus deanei
	Eucalyptus decaisneana	Eucalyptus decaisneana Bl.	3176357	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus obliqua
	Eucalyptus deglupta	Eucalyptus deglupta Blume	3176325	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus deglupta
	Eucalyptus dives	Eucalyptus dives Schauer	3176819	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus dives
	Eucalyptus dura	Eucalyptus dura L.A.S.Johnson & K.D.Hill	3177235	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus dura
	Eucalyptus gigantangion	Eucalyptus gigantangion L.A.S.Johnson & K.D.Hill	3177011	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus gigantangion
	Eucalyptus globulus	Eucalyptus globulus Labill.	3176787	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus globulus
	Eucalyptus grandis	Eucalyptus grandis W.Hill ex Maiden	3177028	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus grandis
	Eucalyptus gunnii	Eucalyptus gunnii Hook.f.	3176283	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus gunnii
	Eucalyptus houseana	Eucalyptus houseana Maiden	3177015	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus houseana
	Eucalyptus intertexta	Eucalyptus intertexta R.T.Baker	3176517	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus intertexta
	Eucalyptus kingsmillii	Eucalyptus kingsmillii (Maiden) Maiden & Blakely	3176966	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus kingsmillii
	Eucalyptus kruseana	Eucalyptus kruseana F.Muell.	3177091	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus kruseana
	Eucalyptus largiflorens	Eucalyptus largiflorens F.Muell.	3177036	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus largiflorens
	Eucalyptus leucoxylon	Eucalyptus leucoxylon F.Muell.	3177019	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus leucoxylon
	Eucalyptus loxophleba	Eucalyptus loxophleba Benth.	3176561	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus loxophleba
	Eucalyptus macrocarpa	Eucalyptus macrocarpa Hook.	3176430	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus macrocarpa
	Eucalyptus maculata	Eucalyptus maculata Hook.	3180485	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Corymbia	Corymbia maculata
	Eucalyptus microcorys	Eucalyptus microcorys F.Muell.	3176755	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus microcorys
	Eucalyptus microtheca	Eucalyptus microtheca F.Muell.	3176810	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus microtheca
	Eucalyptus miniata	Eucalyptus miniata A.Cunn. ex Schauer	3176769	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus miniata
	Eucalyptus nesophila	Eucalyptus nesophila Blakely	3180639	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Corymbia	Corymbia nesophila
	Eucalyptus nitens	Eucalyptus nitens Maiden	3176336	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus nitens
	Eucalyptus orbifolia	Eucalyptus orbifolia F.Muell.	3176688	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus orbifolia
	Eucalyptus ovata	Eucalyptus ovata Labill.	3177130	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus ovata
	Eucalyptus polycarpa	Eucalyptus polycarpa F.MÃ_ll.	6437143	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Corymbia	Corymbia polycarpa
	Eucalyptus propinqua	Eucalyptus propinqua Deane & Maiden	3176213	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus propinqua
	Eucalyptus punctata	Eucalyptus punctata DC.	3176683	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus punctata
	Eucalyptus radiata	Eucalyptus radiata DC.	3176655	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus radiata
	Eucalyptus raveretiana	Eucalyptus raveretiana F.Muell.	3176592	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus raveretiana
	Eucalyptus robusta	Eucalyptus robusta Sm.	3176743	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus robusta
	Eucalyptus saligna	Eucalyptus saligna Sm.	3177224	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus saligna
	Eucalyptus sideroxylon	Eucalyptus sideroxylon A.Cunn. ex Woolls	3177189	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus sideroxylon
	Eucalyptus tereticornis	Eucalyptus tereticornis Sm.	3176719	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus tereticornis
	Eucalyptus torelliana	Eucalyptus torelliana F.MÃ_ll.	3180533	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Corymbia	Corymbia torelliana
	Eucalyptus urophylla	Eucalyptus urophylla S.T.Blake	3176605	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus urophylla
	Eucalyptus viminali	Eucalyptus viminalis Labill.	3177112	FUZZY	95	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus viminalis
	Eucalyptus viridiflora	Eucalyptus L'Her.	7493935	HIGHERRANK	95	ACCEPTED	GENUS	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	
	Eugenia acapulcensis	Eugenia acapulcensis Steud.	5417775	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eugenia	Eugenia acapulcensis
	Eugenia arenosa	Eugenia arenosa Mattos	5416741	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eugenia	Eugenia arenosa
	Eugenia argentea	Eugenia argentea Bedd.	5416769	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eugenia	Eugenia argentea
	Eugenia axillaris	Eugenia axillaris Willd.	5416259	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eugenia	Eugenia axillaris
	Eugenia bacopari	Eugenia bacopari D.Legrand	5417149	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eugenia	Eugenia bacopari
	Eugenia beaurepaireana	Eugenia beaurepaireana (Kiaersk.) C.D.Legrand	5557004	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eugenia	Eugenia ternatifolia
	Eugenia brasiliensis	Eugenia brasiliensis Lam.	5416882	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eugenia	Eugenia brasiliensis
	Eugenia burkartiana	Eugenia burkartiana (D.Legrand) D.Legrand	5418165	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eugenia	Eugenia burkartiana
	Eugenia catharinensis	Eugenia catharinensis D.Legrand	5417767	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eugenia	Eugenia catharinensis
	Eugenia chlorophylla	Eugenia chlorophylla O.Berg	5416928	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eugenia	Eugenia chlorophylla
	Eugenia copacabanensis	Eugenia copacabanensis Kiaersk.	5556852	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eugenia	Eugenia copacabanensis
