#JEAcakoprtu2002Roo
#JEAcaceli2003lea
#JEAcaceli2003Rhi
#JEAcain2003Lea
#JEAcain2003Rhi
#JEAcaqu2008Ste
#JEAchbair2002Fem
#JEAchbair2002Mal
#JEAsatu2014bul
#JECamciin2002Aer
#JECamhacu2003Aer
#JEAfigudemeha2000Aer
#JEClahochmici2003lea
#JEPleprofjasp2000Aer
#JEPleprofjasp2000Gal
#JELtetucoar2002Fru
#JEPatnoaf2005fru
#JEPatnoaf2005lea
#JEPatnoaf2005Res
#JEPatso2008Fru
#JEPatso2008Gal
#JEPatso2008Lea
#JEAhubr2010Lea
#JESmome2011fru
#JEAtobr2013lea
#JERmugudemeha2000Fru
#JEDtrewfokebe2000Lea
#JEAchcu2000Fru
#JEArecu2000Fru
#JEXarpidericu2000Lea
#JEAmoviofhacu2002Fru
#JEAglcu2002Fru
#JEDgoau2002Lea
#JEDwaau2002Lea
#JEXaeaf2003Fru
#JEXbrsapacisapastbr2003Lea
#JEUcaca2005bar
#JEUcaca2005roo
#JEUcaca2005woo
#JEGmama2005bar
#JEXfrsoam2008Fru
#JEBmuba2014lea
#JEBmubr2014lea
#JELmupo2011inf
#JELmupo2011her
#JELmupo2011roo
#JEPbair2014aer
#JEFvudbobr2006fru
#JEFvucr2006Fru
#JEFvusp2000Lea
#JEFvusp2000See
#JEFvusp2000Ste
#JEFvumo2000Lea
#JEFvutu2007Gro
#JEFvutu2007Who
#JEPanar2009Fru
#JEFvuar2009Fru
#JEFasir2003Ole
#JECsaca2011Fru
#JECsatu2011Fru
#JEPspir1998See
#JEEchtu1998Aer
#JEEortu1998Aer
#JEEtetu1998Aer
#JEEtotu1998Aer
#JEEtrtu1998Aer
#JEEcatu1998Aer
#JEBfrcyre1998Lea
#JEBfrcyre1998Ste
#JEBratu1998Aer
#JEAcetu1998Aer
#JELtous1998Aer
#JELtous1998Fru
#JECfesa1998Fru
#JECfesa1998Per
#JECfesa1998See
#JEAgrreis1998Her
#JEHartu1998Fru
#JECsaar1998Fru
#JECsaru1998Fru
#JETamin1998See
#JETgltu1998Fru
#JEFasir1998Gum
#JEPfeho1998Aer
#JEPfeho1998See
#JEBgisp1998Aer
#JEBgisp1998Fru
#JEBgisp1998Lea
#JEBgisp1998Ste
#JEBgisp1998Umb
#JEPbotu1999Fru
#JEMatit1999Epi
#JEMatit1999Hyp
#JESsuir1999Aer
#JEAlacais1999Fru
#JEModfi1999Lea
#JEPantu1999Fru
#JEPantu1999Her
#JEBrisp1999Aer
