22,22,25,21,11,17,7,12,13,12,10,9,8,8,9,8,9,5,4,6,6,1,5,5,9
24,25,20,15,10,15,6,9,11,10,9,10,9,7,10,6,7,6,4,7,7,4,4,4,4
7,14,18,10,5,11,2,8,8,8,5,4,4,2,4,4,5,2,2,2,3,0,3,1,6
11,9,14,8,4,9,4,8,5,7,6,6,5,3,7,3,5,2,3,2,3,1,5,2,5
15,10,8,6,4,11,4,5,4,5,5,4,4,6,6,2,5,5,3,4,5,2,1,5,2
8,7,10,7,4,6,1,5,5,3,2,4,5,3,4,4,3,2,2,2,2,0,3,3,3
10,10,14,11,2,8,4,5,1,4,3,4,2,5,4,4,4,2,3,1,0,0,2,2,4
10,6,8,6,3,4,4,6,5,5,2,2,3,0,1,1,3,0,0,1,2,0,5,0,3
10,8,10,9,3,6,4,8,6,6,6,4,2,1,3,4,4,1,2,2,1,1,6,1,4
5,4,7,9,4,1,4,7,0,5,0,0,2,2,1,3,3,0,0,1,0,0,1,1,3
7,9,11,8,4,8,5,7,2,6,3,4,1,1,1,2,3,2,2,3,1,1,4,1,4
2,4,6,3,2,2,1,3,3,1,1,4,1,0,1,3,1,0,0,1,0,0,3,1,1
8,9,8,5,5,9,3,5,4,2,4,4,2,5,5,2,2,4,2,3,5,2,1,3,1
6,8,6,4,5,3,2,2,2,3,3,2,3,4,4,1,1,3,2,3,3,1,0,2,2
4,3,8,2,1,3,2,3,1,3,3,1,0,1,1,2,2,1,1,0,0,0,2,1,2
5,8,6,5,3,8,4,3,0,2,3,2,1,2,1,0,2,1,2,3,2,1,1,0,4
3,2,7,1,2,2,1,1,2,3,0,0,1,0,0,1,1,0,0,0,1,0,1,0,2
5,1,2,3,1,4,1,1,2,2,1,1,0,1,2,2,1,2,2,1,1,0,2,2,1
4,1,1,2,0,3,0,2,1,2,1,1,0,1,1,2,1,1,2,1,0,1,1,1,1
4,1,2,2,0,4,1,0,1,2,1,1,0,1,1,2,1,1,2,1,0,0,2,1,1
3,5,5,3,2,1,1,4,1,2,3,3,1,1,2,2,2,1,1,0,0,0,3,1,1
2,4,5,4,2,5,0,2,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0
3,4,4,2,2,2,2,1,0,2,2,2,1,1,2,0,1,0,1,1,1,1,1,0,0
2,6,4,2,2,5,1,2,1,1,2,1,1,1,0,0,0,0,1,3,1,2,0,0,0
4,5,3,3,2,2,1,2,0,1,0,0,0,1,1,0,2,3,0,2,1,1,0,1,1
