119,60,78,42,36,43,33,38,36,17,36,27,17,17,23,19,14,14,8,12,15,11,4,13,9
60,84,39,23,23,18,26,20,18,11,26,9,19,21,12,17,18,7,5,7,8,10,8,13,10
78,39,78,32,28,25,24,29,24,11,32,18,12,10,23,13,13,12,7,11,12,8,3,11,6
42,23,32,49,23,24,21,15,25,4,24,16,7,8,13,10,6,10,10,10,11,4,5,4,1
36,23,28,23,44,13,21,10,16,3,20,9,10,9,12,11,3,13,9,11,5,6,4,7,3
43,18,25,24,13,43,15,18,21,3,13,27,6,4,7,4,3,5,2,4,14,4,0,4,1
33,26,24,21,21,15,45,11,18,8,16,10,7,10,12,13,9,6,4,6,9,5,7,4,3
38,20,29,15,10,18,11,46,15,9,17,11,6,4,8,7,8,6,2,5,10,4,1,7,4
36,18,24,25,16,21,18,15,43,5,18,16,6,3,10,4,2,7,7,6,11,5,3,6,0
17,11,11,4,3,3,8,9,5,30,10,1,2,0,4,0,4,0,0,0,2,1,0,2,3
36,26,32,24,20,13,16,17,18,10,48,8,9,6,15,7,7,9,8,9,6,7,1,8,5
27,9,18,16,9,27,10,11,16,1,8,27,2,1,6,3,1,3,1,2,12,3,0,2,1
17,19,12,7,10,6,7,6,6,2,9,2,25,8,3,8,3,5,2,3,1,7,4,9,4
17,21,10,8,9,4,10,4,3,0,6,1,8,21,4,10,6,1,1,1,1,5,6,5,3
23,12,23,13,12,7,12,8,10,4,15,6,3,4,25,3,5,5,4,5,5,1,0,1,1
19,17,13,10,11,4,13,7,4,0,7,3,8,10,3,24,5,4,1,4,1,4,5,4,3
14,18,13,6,3,3,9,8,2,4,7,1,3,6,5,5,18,2,1,2,1,1,1,0,1
14,7,12,10,13,5,6,6,7,0,9,3,5,1,5,4,2,15,7,13,1,2,0,2,1
8,5,7,10,9,2,4,2,7,0,8,1,2,1,4,1,1,7,10,7,1,2,0,2,0
12,7,11,10,11,4,6,5,6,0,9,2,3,1,5,4,2,13,7,13,1,1,0,1,0
15,8,12,11,5,14,9,10,11,2,6,12,1,1,5,1,1,1,1,1,17,0,0,1,0
11,10,8,4,6,4,5,4,5,1,7,3,7,5,1,4,1,2,2,1,0,13,2,6,2
4,8,3,5,4,0,7,1,3,0,1,0,4,6,0,5,1,0,0,0,0,2,8,3,1
13,13,11,4,7,4,4,7,6,2,8,2,9,5,1,4,0,2,2,1,1,6,3,18,7
9,10,6,1,3,1,3,4,0,3,5,1,4,3,1,3,1,1,0,0,0,2,1,7,16
