binomial,count
Cyperus rotundus,7
B. subtilis,2
S. aureus,2
S. yphimurium,2
Staphylococcus epidermidis,1
Bacillus subtilis,1
Escherichia coli,1
Shigella dysenteriae,1
Salmonella typhimurium,1
E. coli,1
Staphylococcus aureus,1
