47,15,10,12,7,8,7,4,6,8,8,8,7,7,10,5,3,9,4,7,6,2,4,5,2
15,36,8,9,4,8,4,7,5,5,11,6,4,6,7,2,6,5,2,6,4,2,1,4,2
10,8,41,12,7,3,6,7,5,7,2,6,3,0,3,5,8,1,0,1,2,3,5,0,5
12,9,12,32,7,6,8,8,7,7,2,8,5,2,6,5,6,5,1,3,3,2,4,1,5
7,4,7,7,18,3,2,7,2,3,2,4,3,2,3,2,0,2,1,3,5,3,1,2,1
8,8,3,6,3,23,1,3,3,5,5,5,2,4,3,1,3,2,2,5,3,2,1,1,1
7,4,6,8,2,1,18,4,2,2,3,6,1,1,3,0,3,3,1,1,1,1,4,0,3
4,7,7,8,7,3,4,21,4,2,1,3,2,0,4,2,2,3,0,0,2,1,2,1,2
6,5,5,7,2,3,2,4,18,4,3,7,3,1,3,4,3,2,0,2,4,2,2,1,1
8,5,7,7,3,5,2,2,4,18,2,3,2,2,2,2,3,1,1,1,1,1,5,0,1
8,11,2,2,2,5,3,1,3,2,13,5,3,4,4,1,2,1,2,3,4,2,2,3,1
8,6,6,8,4,5,6,3,7,3,5,19,5,1,4,4,3,3,1,3,4,3,3,0,0
7,4,3,5,3,2,1,2,3,2,3,5,12,2,6,3,2,2,0,2,4,1,2,2,0
7,6,0,2,2,4,1,0,1,2,4,1,2,10,2,1,1,2,2,3,3,2,0,4,0
10,7,3,6,3,3,3,4,3,2,4,4,6,2,14,3,3,7,2,2,3,0,2,3,0
5,2,5,5,2,1,0,2,4,2,1,4,3,1,3,11,1,2,1,1,2,2,2,1,0
3,6,8,6,0,3,3,2,3,3,2,3,2,1,3,1,16,1,0,2,2,1,1,1,2
9,5,1,5,2,2,3,3,2,1,1,3,2,2,7,2,1,11,1,1,1,0,0,2,0
4,2,0,1,1,2,1,0,0,1,2,1,0,2,2,1,0,1,7,3,1,1,0,1,1
7,6,1,3,3,5,1,0,2,1,3,3,2,3,2,1,2,1,3,12,4,4,0,2,1
6,4,2,3,5,3,1,2,4,1,4,4,4,3,3,2,2,1,1,4,9,4,0,3,0
2,2,3,2,3,2,1,1,2,1,2,3,1,2,0,2,1,0,1,4,4,6,0,1,0
4,1,5,4,1,1,4,2,2,5,2,3,2,0,2,2,1,0,0,0,0,0,10,0,0
5,4,0,1,2,1,0,1,1,0,3,0,2,4,3,1,1,2,1,2,3,1,0,6,0
2,2,5,5,1,1,3,2,1,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0,10
